x,y,z
46.67778853596916,24.705500215104454,608.5946404828784
46.669464214762975,24.71972942428328,574.6872634185619
46.68284359135409,24.70673877665259,626.1367354047969
46.665595944388755,24.709372759496073,622.2767558164611
46.66553071939367,24.708976753013733,624.9210373616968
46.67589882961206,24.709408812440813,571.6762121410266
46.68118860913356,24.70512997519356,628.2134037407662
46.67896278789976,24.71180501033036,574.9205980685065
46.68414426144413,24.711731890902254,605.6547977380789
46.666934327536666,24.72194988732695,618.8633254644153
46.681142565465485,24.719594635733877,578.0476586529843
46.68446231527958,24.71257068754417,606.8891983248989
46.68158809328506,24.717370395047286,572.953617725942
46.676547042905135,24.719091436724298,582.2132901195347
46.66955796551303,24.71078775927204,571.6881226082215
46.66965581772722,24.707020028588193,604.2111873258552
46.677713688885284,24.7122966435794,589.6764715248697
46.66919014061543,24.71033955644098,576.2688603316947
46.677960707704926,24.71718262011334,591.7006129905039
46.67958253595901,24.708268049875237,583.2763743012092
46.68479046701273,24.717799995197083,612.825859369826
46.67869228501979,24.721857038403797,579.4580759354429
46.66958096143928,24.70564200487808,620.5619380590377
46.67035481751951,24.709219656871728,575.9922159739966
46.68252735252945,24.71129355761597,586.6961912510984
46.67291263802121,24.723290951794812,588.7207732601222
46.670297603329956,24.70993255015388,572.2310989742407
46.67025483217046,24.71669171980447,575.9554526559457
46.672988010102806,24.709386415183147,571.0624106890094
46.675190525873525,24.706818188243474,583.5174113193499
46.66719298260701,24.717548920834062,584.4758409536138
46.67344319933599,24.70627055412304,593.2180980996646
46.684922427604796,24.715582286901984,609.7152293225861
46.682215594044685,24.705229620438857,630.2170141117433
46.678634207380526,24.715739406608176,591.3365907640307
46.67781923597159,24.707231043471918,584.8597842264095
46.674074474126584,24.72407631855042,597.4303998500463
46.67026778101502,24.715011722261007,578.2735240928463
46.6832525567869,24.722410371396734,623.4316207444715
46.67777898989732,24.717179404228762,593.8366668575186
46.6802502160015,24.71578758060239,573.7811513401715
46.6756070734439,24.705011437922558,610.1675460566856
46.66538953484771,24.72358197232529,629.9952105854261
46.68163331058722,24.711150282508054,577.6514509806344
46.68256019198408,24.72393898890596,627.96949304625
46.67471980926633,24.706384250369368,589.9545695930044
46.68031668858614,24.707567829289996,597.3309946915286
46.675996071869896,24.710301132578802,578.1066004894966
46.673462758804014,24.709235964108842,570.6913347559772
46.6795986213818,24.709023021267793,576.6113378378341
46.68490298713321,24.71799756115279,614.9433885012555
46.67535151682071,24.707420083917366,576.9838570828528
46.671761711242944,24.716766174369145,591.5975344306479
46.66940434768903,24.706419861720182,613.7141366867096
46.66957883567622,24.723108400260124,606.9065648376026
46.66641714699777,24.70976009268738,611.1396608474671
46.669284736147404,24.7076462369745,600.349917805813
46.676420861866504,24.714453420526237,622.2045994543965
46.68114993995533,24.708808198287237,590.9477534817571
46.673621023648124,24.7134715724604,615.5954834071523
46.679581516989195,24.718467290945867,571.666228563987
46.66696835742304,24.713052425642044,584.7799253380965
46.682233450727054,24.709973126678406,592.2073113593347
46.67397227095666,24.713437632796687,617.830532232555
46.66999612895764,24.72346531198552,607.75113260725
46.68222698209524,24.716006506249,574.3083040848929
46.68498564936825,24.721720551701598,630.114943135222
46.68352733966016,24.721973914688284,622.5852229701412
46.67471282250901,24.709274945983985,571.2490922624622
46.66617270799944,24.712579462379537,597.9661068995548
